,brands_url,models,models_url,generations,generations_url,modifications,modifications_url
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-alturas-g4-model-2553,https://www.auto-data.net/en/mahindra-alturas-g4-model-2553,mahindra-alturas-g4-generation-6697,https://www.auto-data.net/en/mahindra-alturas-g4-generation-6697,mahindra-alturas-g4-2.2-crdi-181hp-automatic-34913,https://www.auto-data.net/en/mahindra-alturas-g4-2.2-crdi-181hp-automatic-34913
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-alturas-g4-model-2553,https://www.auto-data.net/en/mahindra-alturas-g4-model-2553,mahindra-alturas-g4-generation-6697,https://www.auto-data.net/en/mahindra-alturas-g4-generation-6697,mahindra-alturas-g4-2.2-crdi-181hp-4x4-automatic-34914,https://www.auto-data.net/en/mahindra-alturas-g4-2.2-crdi-181hp-4x4-automatic-34914
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-ambulance-model-962,https://www.auto-data.net/en/mahindra-ambulance-model-962,mahindra-ambulance-generation-2057,https://www.auto-data.net/en/mahindra-ambulance-generation-2057,mahindra-ambulance-2.5-d-73hp-10111,https://www.auto-data.net/en/mahindra-ambulance-2.5-d-73hp-10111
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-armada-model-967,https://www.auto-data.net/en/mahindra-armada-model-967,mahindra-armada-cj7-generation-2062,https://www.auto-data.net/en/mahindra-armada-cj7-generation-2062,mahindra-armada-cj7-2.5-d-4wd-grand-72hp-10123,https://www.auto-data.net/en/mahindra-armada-cj7-2.5-d-4wd-grand-72hp-10123
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-armada-model-967,https://www.auto-data.net/en/mahindra-armada-model-967,mahindra-armada-cj7-generation-2062,https://www.auto-data.net/en/mahindra-armada-cj7-generation-2062,mahindra-armada-cj7-2.1-d-62hp-4wd-10122,https://www.auto-data.net/en/mahindra-armada-cj7-2.1-d-62hp-4wd-10122
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-bolero-model-972,https://www.auto-data.net/en/mahindra-bolero-model-972,mahindra-bolero-ex-generation-5262,https://www.auto-data.net/en/mahindra-bolero-ex-generation-5262,mahindra-bolero-ex-2.5-tdi-63hp-awd-27289,https://www.auto-data.net/en/mahindra-bolero-ex-2.5-tdi-63hp-awd-27289
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-bolero-model-972,https://www.auto-data.net/en/mahindra-bolero-model-972,mahindra-bolero-cj7-generation-2067,https://www.auto-data.net/en/mahindra-bolero-cj7-generation-2067,mahindra-bolero-cj7-2.5-d-72hp-4wd-10131,https://www.auto-data.net/en/mahindra-bolero-cj7-2.5-d-72hp-4wd-10131
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-cj-3-model-977,https://www.auto-data.net/en/mahindra-cj-3-model-977,mahindra-cj-3-generation-2072,https://www.auto-data.net/en/mahindra-cj-3-generation-2072,mahindra-cj-3-2.5-d-39hp-10143,https://www.auto-data.net/en/mahindra-cj-3-2.5-d-39hp-10143
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-cj-3-model-977,https://www.auto-data.net/en/mahindra-cj-3-model-977,mahindra-cj-3-generation-2072,https://www.auto-data.net/en/mahindra-cj-3-generation-2072,mahindra-cj-3-2.3-d-38hp-10142,https://www.auto-data.net/en/mahindra-cj-3-2.3-d-38hp-10142
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-cj-3-model-977,https://www.auto-data.net/en/mahindra-cj-3-model-977,mahindra-cj-3-generation-2072,https://www.auto-data.net/en/mahindra-cj-3-generation-2072,mahindra-cj-3-2.2-72hp-10141,https://www.auto-data.net/en/mahindra-cj-3-2.2-72hp-10141
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-cj-3-model-977,https://www.auto-data.net/en/mahindra-cj-3-model-977,mahindra-cj-3-generation-2072,https://www.auto-data.net/en/mahindra-cj-3-generation-2072,mahindra-cj-3-2.1-d-63hp-10140,https://www.auto-data.net/en/mahindra-cj-3-2.1-d-63hp-10140
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-cj-3-wagon-model-963,https://www.auto-data.net/en/mahindra-cj-3-wagon-model-963,mahindra-cj-3-wagon-generation-2058,https://www.auto-data.net/en/mahindra-cj-3-wagon-generation-2058,mahindra-cj-3-wagon-2.5-d-39hp-10115,https://www.auto-data.net/en/mahindra-cj-3-wagon-2.5-d-39hp-10115
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-cj-3-wagon-model-963,https://www.auto-data.net/en/mahindra-cj-3-wagon-model-963,mahindra-cj-3-wagon-generation-2058,https://www.auto-data.net/en/mahindra-cj-3-wagon-generation-2058,mahindra-cj-3-wagon-2.3-d-38hp-10114,https://www.auto-data.net/en/mahindra-cj-3-wagon-2.3-d-38hp-10114
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-cj-3-wagon-model-963,https://www.auto-data.net/en/mahindra-cj-3-wagon-model-963,mahindra-cj-3-wagon-generation-2058,https://www.auto-data.net/en/mahindra-cj-3-wagon-generation-2058,mahindra-cj-3-wagon-2.2-72hp-10113,https://www.auto-data.net/en/mahindra-cj-3-wagon-2.2-72hp-10113
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-cj-3-wagon-model-963,https://www.auto-data.net/en/mahindra-cj-3-wagon-model-963,mahindra-cj-3-wagon-generation-2058,https://www.auto-data.net/en/mahindra-cj-3-wagon-generation-2058,mahindra-cj-3-wagon-2.1-d-63hp-10112,https://www.auto-data.net/en/mahindra-cj-3-wagon-2.1-d-63hp-10112
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-cl-model-968,https://www.auto-data.net/en/mahindra-cl-model-968,mahindra-cl-generation-2063,https://www.auto-data.net/en/mahindra-cl-generation-2063,mahindra-cl-2.5-d-80hp-10124,https://www.auto-data.net/en/mahindra-cl-2.5-d-80hp-10124
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-commander-model-973,https://www.auto-data.net/en/mahindra-commander-model-973,mahindra-commander-generation-2068,https://www.auto-data.net/en/mahindra-commander-generation-2068,mahindra-commander-750-st-2wd-62hp-10134,https://www.auto-data.net/en/mahindra-commander-750-st-2wd-62hp-10134
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-commander-model-973,https://www.auto-data.net/en/mahindra-commander-model-973,mahindra-commander-generation-2068,https://www.auto-data.net/en/mahindra-commander-generation-2068,mahindra-commander-750-st-62hp-10133,https://www.auto-data.net/en/mahindra-commander-750-st-62hp-10133
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-commander-model-973,https://www.auto-data.net/en/mahindra-commander-model-973,mahindra-commander-generation-2068,https://www.auto-data.net/en/mahindra-commander-generation-2068,mahindra-commander-650-di-50hp-10132,https://www.auto-data.net/en/mahindra-commander-650-di-50hp-10132
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-e-verito-model-2200,https://www.auto-data.net/en/mahindra-e-verito-model-2200,mahindra-e-verito-generation-5331,https://www.auto-data.net/en/mahindra-e-verito-generation-5331,mahindra-e-verito-14.4-kwh-41hp-electric-27960,https://www.auto-data.net/en/mahindra-e-verito-14.4-kwh-41hp-electric-27960
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-goa-model-2684,https://www.auto-data.net/en/mahindra-goa-model-2684,mahindra-goa-generation-7037,https://www.auto-data.net/en/mahindra-goa-generation-7037,mahindra-goa-2.5-106hp-awd-36697,https://www.auto-data.net/en/mahindra-goa-2.5-106hp-awd-36697
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-goa-model-2684,https://www.auto-data.net/en/mahindra-goa-model-2684,mahindra-goa-generation-7037,https://www.auto-data.net/en/mahindra-goa-generation-7037,mahindra-goa-2.5-106hp-36696,https://www.auto-data.net/en/mahindra-goa-2.5-106hp-36696
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-imperio-model-2601,https://www.auto-data.net/en/mahindra-imperio-model-2601,mahindra-imperio-double-cab-generation-6813,https://www.auto-data.net/en/mahindra-imperio-double-cab-generation-6813,mahindra-imperio-double-cab-2.5-75hp-35396,https://www.auto-data.net/en/mahindra-imperio-double-cab-2.5-75hp-35396
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-imperio-model-2601,https://www.auto-data.net/en/mahindra-imperio-model-2601,mahindra-imperio-single-cab-generation-6812,https://www.auto-data.net/en/mahindra-imperio-single-cab-generation-6812,mahindra-imperio-single-cab-2.5-75hp-35413,https://www.auto-data.net/en/mahindra-imperio-single-cab-2.5-75hp-35413
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-kuv100-model-2178,https://www.auto-data.net/en/mahindra-kuv100-model-2178,mahindra-kuv100-nxt-facelift-2017-generation-6136,https://www.auto-data.net/en/mahindra-kuv100-nxt-facelift-2017-generation-6136,mahindra-kuv100-nxt-facelift-2017-1.2d-78hp-32755,https://www.auto-data.net/en/mahindra-kuv100-nxt-facelift-2017-1.2d-78hp-32755
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-kuv100-model-2178,https://www.auto-data.net/en/mahindra-kuv100-model-2178,mahindra-kuv100-nxt-facelift-2017-generation-6136,https://www.auto-data.net/en/mahindra-kuv100-nxt-facelift-2017-generation-6136,mahindra-kuv100-nxt-facelift-2017-1.2-83hp-32754,https://www.auto-data.net/en/mahindra-kuv100-nxt-facelift-2017-1.2-83hp-32754
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-kuv100-model-2178,https://www.auto-data.net/en/mahindra-kuv100-model-2178,mahindra-kuv100-generation-5293,https://www.auto-data.net/en/mahindra-kuv100-generation-5293,mahindra-kuv100-1.2d-78hp-27431,https://www.auto-data.net/en/mahindra-kuv100-1.2d-78hp-27431
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-kuv100-model-2178,https://www.auto-data.net/en/mahindra-kuv100-model-2178,mahindra-kuv100-generation-5293,https://www.auto-data.net/en/mahindra-kuv100-generation-5293,mahindra-kuv100-1.2-83hp-27436,https://www.auto-data.net/en/mahindra-kuv100-1.2-83hp-27436
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-marazzo-model-2510,https://www.auto-data.net/en/mahindra-marazzo-model-2510,mahindra-marazzo-generation-6511,https://www.auto-data.net/en/mahindra-marazzo-generation-6511,mahindra-marazzo-1.5d-121hp-34240,https://www.auto-data.net/en/mahindra-marazzo-1.5d-121hp-34240
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-marshal-model-964,https://www.auto-data.net/en/mahindra-marshal-model-964,mahindra-marshal-generation-2059,https://www.auto-data.net/en/mahindra-marshal-generation-2059,mahindra-marshal-2.0-i-16v-116hp-10116,https://www.auto-data.net/en/mahindra-marshal-2.0-i-16v-116hp-10116
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-mm-540-550-model-969,https://www.auto-data.net/en/mahindra-mm-540-550-model-969,mahindra-mm-540-550-generation-2064,https://www.auto-data.net/en/mahindra-mm-540-550-generation-2064,mahindra-mm-540-550-550-pe-94hp-10128,https://www.auto-data.net/en/mahindra-mm-540-550-550-pe-94hp-10128
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-mm-540-550-model-969,https://www.auto-data.net/en/mahindra-mm-540-550-model-969,mahindra-mm-540-550-generation-2064,https://www.auto-data.net/en/mahindra-mm-540-550-generation-2064,mahindra-mm-540-550-550-dp-62hp-10127,https://www.auto-data.net/en/mahindra-mm-540-550-550-dp-62hp-10127
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-mm-540-550-model-969,https://www.auto-data.net/en/mahindra-mm-540-550-model-969,mahindra-mm-540-550-generation-2064,https://www.auto-data.net/en/mahindra-mm-540-550-generation-2064,mahindra-mm-540-550-540-xdb-72hp-10126,https://www.auto-data.net/en/mahindra-mm-540-550-540-xdb-72hp-10126
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-mm-540-550-model-969,https://www.auto-data.net/en/mahindra-mm-540-550-model-969,mahindra-mm-540-550-generation-2064,https://www.auto-data.net/en/mahindra-mm-540-550-generation-2064,mahindra-mm-540-550-540-dp-62hp-10125,https://www.auto-data.net/en/mahindra-mm-540-550-540-dp-62hp-10125
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-mm-775-model-974,https://www.auto-data.net/en/mahindra-mm-775-model-974,mahindra-mm-775-generation-2069,https://www.auto-data.net/en/mahindra-mm-775-generation-2069,mahindra-mm-775-2.5-d-xdb-72hp-10137,https://www.auto-data.net/en/mahindra-mm-775-2.5-d-xdb-72hp-10137
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-mm-775-model-974,https://www.auto-data.net/en/mahindra-mm-775-model-974,mahindra-mm-775-generation-2069,https://www.auto-data.net/en/mahindra-mm-775-generation-2069,mahindra-mm-775-2.1-xdb-94hp-10136,https://www.auto-data.net/en/mahindra-mm-775-2.1-xdb-94hp-10136
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-mm-775-model-974,https://www.auto-data.net/en/mahindra-mm-775-model-974,mahindra-mm-775-generation-2069,https://www.auto-data.net/en/mahindra-mm-775-generation-2069,mahindra-mm-775-2.1-d-xdb-62hp-10135,https://www.auto-data.net/en/mahindra-mm-775-2.1-d-xdb-62hp-10135
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-mm-double-cab-model-965,https://www.auto-data.net/en/mahindra-mm-double-cab-model-965,mahindra-mm-double-cab-generation-2060,https://www.auto-data.net/en/mahindra-mm-double-cab-generation-2060,mahindra-mm-double-cab-2.5-d-73hp-10117,https://www.auto-data.net/en/mahindra-mm-double-cab-2.5-d-73hp-10117
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-mm550-dp-model-970,https://www.auto-data.net/en/mahindra-mm550-dp-model-970,mahindra-mm550-dp-generation-2065,https://www.auto-data.net/en/mahindra-mm550-dp-generation-2065,mahindra-mm550-dp-2.5-73hp-10129,https://www.auto-data.net/en/mahindra-mm550-dp-2.5-73hp-10129
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-nc-640-dp-model-975,https://www.auto-data.net/en/mahindra-nc-640-dp-model-975,mahindra-nc-640-dp-generation-2070,https://www.auto-data.net/en/mahindra-nc-640-dp-generation-2070,mahindra-nc-640-dp-2.5-73hp-10138,https://www.auto-data.net/en/mahindra-nc-640-dp-2.5-73hp-10138
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-nuvosport-model-2192,https://www.auto-data.net/en/mahindra-nuvosport-model-2192,mahindra-nuvosport-generation-5320,https://www.auto-data.net/en/mahindra-nuvosport-generation-5320,mahindra-nuvosport-1.5-d-101hp-automatic-27642,https://www.auto-data.net/en/mahindra-nuvosport-1.5-d-101hp-automatic-27642
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-nuvosport-model-2192,https://www.auto-data.net/en/mahindra-nuvosport-model-2192,mahindra-nuvosport-generation-5320,https://www.auto-data.net/en/mahindra-nuvosport-generation-5320,mahindra-nuvosport-1.5-d-101hp-27631,https://www.auto-data.net/en/mahindra-nuvosport-1.5-d-101hp-27631
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-quanto-model-2180,https://www.auto-data.net/en/mahindra-quanto-model-2180,mahindra-quanto-generation-5295,https://www.auto-data.net/en/mahindra-quanto-generation-5295,mahindra-quanto-1.5d-101hp-27432,https://www.auto-data.net/en/mahindra-quanto-1.5d-101hp-27432
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-roxor-model-2605,https://www.auto-data.net/en/mahindra-roxor-model-2605,mahindra-roxor-generation-6859,https://www.auto-data.net/en/mahindra-roxor-generation-6859,mahindra-roxor-2.5-m2dicr-62hp-4wd-35869,https://www.auto-data.net/en/mahindra-roxor-2.5-m2dicr-62hp-4wd-35869
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-scorpio-model-966,https://www.auto-data.net/en/mahindra-scorpio-model-966,mahindra-scorpio-facelift-2017-generation-6599,https://www.auto-data.net/en/mahindra-scorpio-facelift-2017-generation-6599,mahindra-scorpio-facelift-2017-2.5-m2dicr-75hp-34551,https://www.auto-data.net/en/mahindra-scorpio-facelift-2017-2.5-m2dicr-75hp-34551
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-scorpio-model-966,https://www.auto-data.net/en/mahindra-scorpio-model-966,mahindra-scorpio-facelift-2017-generation-6599,https://www.auto-data.net/en/mahindra-scorpio-facelift-2017-generation-6599,mahindra-scorpio-facelift-2017-2.2-mhawk-140hp-4wd-34554,https://www.auto-data.net/en/mahindra-scorpio-facelift-2017-2.2-mhawk-140hp-4wd-34554
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-scorpio-model-966,https://www.auto-data.net/en/mahindra-scorpio-model-966,mahindra-scorpio-facelift-2017-generation-6599,https://www.auto-data.net/en/mahindra-scorpio-facelift-2017-generation-6599,mahindra-scorpio-facelift-2017-2.2-mhawk-140hp-34553,https://www.auto-data.net/en/mahindra-scorpio-facelift-2017-2.2-mhawk-140hp-34553
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-scorpio-model-966,https://www.auto-data.net/en/mahindra-scorpio-model-966,mahindra-scorpio-facelift-2017-generation-6599,https://www.auto-data.net/en/mahindra-scorpio-facelift-2017-generation-6599,mahindra-scorpio-facelift-2017-2.2-mhawk-120hp-34552,https://www.auto-data.net/en/mahindra-scorpio-facelift-2017-2.2-mhawk-120hp-34552
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-scorpio-model-966,https://www.auto-data.net/en/mahindra-scorpio-model-966,mahindra-scorpio-generation-2061,https://www.auto-data.net/en/mahindra-scorpio-generation-2061,mahindra-scorpio-2.6-di-4wd-109hp-10121,https://www.auto-data.net/en/mahindra-scorpio-2.6-di-4wd-109hp-10121
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-scorpio-model-966,https://www.auto-data.net/en/mahindra-scorpio-model-966,mahindra-scorpio-generation-2061,https://www.auto-data.net/en/mahindra-scorpio-generation-2061,mahindra-scorpio-2.6-di-2wd-109hp-10120,https://www.auto-data.net/en/mahindra-scorpio-2.6-di-2wd-109hp-10120
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-scorpio-model-966,https://www.auto-data.net/en/mahindra-scorpio-model-966,mahindra-scorpio-generation-2061,https://www.auto-data.net/en/mahindra-scorpio-generation-2061,mahindra-scorpio-2.0-i-mpfi-4wd-116hp-10119,https://www.auto-data.net/en/mahindra-scorpio-2.0-i-mpfi-4wd-116hp-10119
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-scorpio-model-966,https://www.auto-data.net/en/mahindra-scorpio-model-966,mahindra-scorpio-generation-2061,https://www.auto-data.net/en/mahindra-scorpio-generation-2061,mahindra-scorpio-2.0-i-mpfi-2wd-116hp-10118,https://www.auto-data.net/en/mahindra-scorpio-2.0-i-mpfi-2wd-116hp-10118
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-supro-model-2193,https://www.auto-data.net/en/mahindra-supro-model-2193,mahindra-supro-generation-5321,https://www.auto-data.net/en/mahindra-supro-generation-5321,mahindra-supro-0.9-d-45hp-27644,https://www.auto-data.net/en/mahindra-supro-0.9-d-45hp-27644
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-supro-model-2193,https://www.auto-data.net/en/mahindra-supro-model-2193,mahindra-supro-generation-5321,https://www.auto-data.net/en/mahindra-supro-generation-5321,mahindra-supro-0.9-45hp-27643,https://www.auto-data.net/en/mahindra-supro-0.9-45hp-27643
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-tempo-model-971,https://www.auto-data.net/en/mahindra-tempo-model-971,mahindra-tempo-generation-2066,https://www.auto-data.net/en/mahindra-tempo-generation-2066,mahindra-tempo-2.5-d-73hp-10130,https://www.auto-data.net/en/mahindra-tempo-2.5-d-73hp-10130
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-thar-model-2195,https://www.auto-data.net/en/mahindra-thar-model-2195,mahindra-thar-ii-generation-7873,https://www.auto-data.net/en/mahindra-thar-ii-generation-7873,mahindra-thar-ii-2.2-mhawk-crde-132hp-4wd-automatic-6-seater-41165,https://www.auto-data.net/en/mahindra-thar-ii-2.2-mhawk-crde-132hp-4wd-automatic-6-seater-41165
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-thar-model-2195,https://www.auto-data.net/en/mahindra-thar-model-2195,mahindra-thar-ii-generation-7873,https://www.auto-data.net/en/mahindra-thar-ii-generation-7873,mahindra-thar-ii-2.2-mhawk-crde-132hp-4wd-automatic-4-seater-41009,https://www.auto-data.net/en/mahindra-thar-ii-2.2-mhawk-crde-132hp-4wd-automatic-4-seater-41009
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-thar-model-2195,https://www.auto-data.net/en/mahindra-thar-model-2195,mahindra-thar-ii-generation-7873,https://www.auto-data.net/en/mahindra-thar-ii-generation-7873,mahindra-thar-ii-2.2-mhawk-crde-132hp-4wd-6-seater-41164,https://www.auto-data.net/en/mahindra-thar-ii-2.2-mhawk-crde-132hp-4wd-6-seater-41164
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-thar-model-2195,https://www.auto-data.net/en/mahindra-thar-model-2195,mahindra-thar-ii-generation-7873,https://www.auto-data.net/en/mahindra-thar-ii-generation-7873,mahindra-thar-ii-2.2-mhawk-crde-132hp-4wd-4-seater-41008,https://www.auto-data.net/en/mahindra-thar-ii-2.2-mhawk-crde-132hp-4wd-4-seater-41008
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-thar-model-2195,https://www.auto-data.net/en/mahindra-thar-model-2195,mahindra-thar-ii-generation-7873,https://www.auto-data.net/en/mahindra-thar-ii-generation-7873,mahindra-thar-ii-2.0-mstallion-tgdi-152hp-4wd-automatic-6-seater-41011,https://www.auto-data.net/en/mahindra-thar-ii-2.0-mstallion-tgdi-152hp-4wd-automatic-6-seater-41011
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-thar-model-2195,https://www.auto-data.net/en/mahindra-thar-model-2195,mahindra-thar-ii-generation-7873,https://www.auto-data.net/en/mahindra-thar-ii-generation-7873,mahindra-thar-ii-2.0-mstallion-tgdi-152hp-4wd-automatic-4-seater-41167,https://www.auto-data.net/en/mahindra-thar-ii-2.0-mstallion-tgdi-152hp-4wd-automatic-4-seater-41167
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-thar-model-2195,https://www.auto-data.net/en/mahindra-thar-model-2195,mahindra-thar-ii-generation-7873,https://www.auto-data.net/en/mahindra-thar-ii-generation-7873,mahindra-thar-ii-2.0-mstallion-tgdi-152hp-4wd-6-seater-41010,https://www.auto-data.net/en/mahindra-thar-ii-2.0-mstallion-tgdi-152hp-4wd-6-seater-41010
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-thar-model-2195,https://www.auto-data.net/en/mahindra-thar-model-2195,mahindra-thar-ii-generation-7873,https://www.auto-data.net/en/mahindra-thar-ii-generation-7873,mahindra-thar-ii-2.0-mstallion-tgdi-152hp-4wd-4-seater-41166,https://www.auto-data.net/en/mahindra-thar-ii-2.0-mstallion-tgdi-152hp-4wd-4-seater-41166
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-thar-model-2195,https://www.auto-data.net/en/mahindra-thar-model-2195,mahindra-thar-i-generation-5324,https://www.auto-data.net/en/mahindra-thar-i-generation-5324,mahindra-thar-i-2.6-64hp-27646,https://www.auto-data.net/en/mahindra-thar-i-2.6-64hp-27646
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-thar-model-2195,https://www.auto-data.net/en/mahindra-thar-model-2195,mahindra-thar-i-generation-5324,https://www.auto-data.net/en/mahindra-thar-i-generation-5324,mahindra-thar-i-2.5-d-106hp-4x4-27668,https://www.auto-data.net/en/mahindra-thar-i-2.5-d-106hp-4x4-27668
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-tuv300-model-2194,https://www.auto-data.net/en/mahindra-tuv300-model-2194,mahindra-tuv300-generation-5322,https://www.auto-data.net/en/mahindra-tuv300-generation-5322,mahindra-tuv300-1.5-d-85hp-27683,https://www.auto-data.net/en/mahindra-tuv300-1.5-d-85hp-27683
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-tuv300-model-2194,https://www.auto-data.net/en/mahindra-tuv300-model-2194,mahindra-tuv300-generation-5322,https://www.auto-data.net/en/mahindra-tuv300-generation-5322,mahindra-tuv300-1.5-d-82hp-automatic-27667,https://www.auto-data.net/en/mahindra-tuv300-1.5-d-82hp-automatic-27667
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-tuv300-model-2194,https://www.auto-data.net/en/mahindra-tuv300-model-2194,mahindra-tuv300-generation-5322,https://www.auto-data.net/en/mahindra-tuv300-generation-5322,mahindra-tuv300-1.5-101hp-automatic-27896,https://www.auto-data.net/en/mahindra-tuv300-1.5-101hp-automatic-27896
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-tuv300-model-2194,https://www.auto-data.net/en/mahindra-tuv300-model-2194,mahindra-tuv300-generation-5322,https://www.auto-data.net/en/mahindra-tuv300-generation-5322,mahindra-tuv300-1.5-101hp-27645,https://www.auto-data.net/en/mahindra-tuv300-1.5-101hp-27645
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-verito-model-2196,https://www.auto-data.net/en/mahindra-verito-model-2196,mahindra-verito-generation-5326,https://www.auto-data.net/en/mahindra-verito-generation-5326,mahindra-verito-1.5d-65hp-27876,https://www.auto-data.net/en/mahindra-verito-1.5d-65hp-27876
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-verito-model-2196,https://www.auto-data.net/en/mahindra-verito-model-2196,mahindra-verito-generation-5326,https://www.auto-data.net/en/mahindra-verito-generation-5326,mahindra-verito-1.4-75hp-27976,https://www.auto-data.net/en/mahindra-verito-1.4-75hp-27976
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-verito-vibe-model-2197,https://www.auto-data.net/en/mahindra-verito-vibe-model-2197,mahindra-verito-vibe-generation-5327,https://www.auto-data.net/en/mahindra-verito-vibe-generation-5327,mahindra-verito-vibe-1.5-dci-65hp-27959,https://www.auto-data.net/en/mahindra-verito-vibe-1.5-dci-65hp-27959
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-voyager-model-976,https://www.auto-data.net/en/mahindra-voyager-model-976,mahindra-voyager-generation-2071,https://www.auto-data.net/en/mahindra-voyager-generation-2071,mahindra-voyager-2.5-d-80hp-10139,https://www.auto-data.net/en/mahindra-voyager-2.5-d-80hp-10139
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-xuv500-model-2198,https://www.auto-data.net/en/mahindra-xuv500-model-2198,mahindra-xuv500-facelift-2018-generation-6220,https://www.auto-data.net/en/mahindra-xuv500-facelift-2018-generation-6220,mahindra-xuv500-facelift-2018-2.2i-140hp-awd-automatic-33017,https://www.auto-data.net/en/mahindra-xuv500-facelift-2018-2.2i-140hp-awd-automatic-33017
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-xuv500-model-2198,https://www.auto-data.net/en/mahindra-xuv500-model-2198,mahindra-xuv500-facelift-2018-generation-6220,https://www.auto-data.net/en/mahindra-xuv500-facelift-2018-generation-6220,mahindra-xuv500-facelift-2018-2.2i-140hp-automatic-33016,https://www.auto-data.net/en/mahindra-xuv500-facelift-2018-2.2i-140hp-automatic-33016
159,https://www.auto-data.net/en/mahindra-brand-88,mahindra-xuv500-model-2198,https://www.auto-data.net/en/mahindra-xuv500-model-2198,mahindra-xuv500-facelift-2018-generation-6220,https://www.auto-data.net/en/mahindra-xuv500-facelift-2018-generation-6220,mahindra-xuv500-facelift-2018-2.2d-155hp-awd-33019,https://www.auto-data.net/en/mahindra-xuv500-facelift-2018-2.2d-155hp-awd-33019
